date,home_team,away_team,home_outcome,avg_odd_home_win,avg_odd_draw,avg_odd_away_win,home_ranking,away_ranking,last_home_result,last_away_result
19/04/2016,17,14,1,10.128,4.44,2.063,15,2,1,1
20/04/2016,13,8,2,6.757,3.623,4.599,6,11,1,1
20/04/2016,15,7,2,6.629,3.802,6.155,4,10,1,-1
20/04/2016,26,24,2,6.65,3.841,5.742,12,18,1,0
23/04/2016,2,6,0,8.012,3.38,2.48,18,1,-1,-1
23/04/2016,13,17,1,7.013,4.007,5.488,6,15,-1,0
24/04/2016,12,22,2,6.946,3.419,4.906,14,8,0,0
24/04/2016,21,0,1,9.192,3.954,2.096,16,3,1,0
30/04/2016,8,2,2,7.143,3.428,3.619,11,18,0,1
30/04/2016,17,7,2,7.118,3.29,3.78,15,10,1,0
30/04/2016,20,21,1,7.627,3.162,2.755,9,16,1,1
30/04/2016,24,1,2,6.927,3.537,4.964,18,17,-1,-1
30/04/2016,25,26,0,8.482,3.465,2.279,13,12,-1,1
01/05/2016,15,12,1,7.162,3.209,3.664,4,14,-1,-1
01/05/2016,19,14,2,7.668,3.287,2.667,7,2,1,-1
01/05/2016,22,13,2,7.977,3.366,2.435,8,6,-1,1
02/05/2016,6,23,1,7.554,3.348,2.648,1,5,-1,-1
07/05/2016,1,17,1,10.165,4.197,2.075,17,15,1,1
07/05/2016,2,25,1,7.301,3.266,4.02,20,13,1,-1
07/05/2016,7,20,2,7.384,3.261,3.649,10,9,1,1
07/05/2016,12,8,2,7.315,3.491,3.891,14,11,1,1
07/05/2016,18,15,0,9.188,3.639,2.177,20,4,0,-1
07/05/2016,21,6,2,7.969,3.355,2.514,16,1,-1,0
07/05/2016,26,22,0,7.077,4.208,6.927,12,8,-1,1
08/05/2016,13,24,2,7.075,4.096,6.39,6,20,1,1
08/05/2016,14,0,1,7.747,3.311,2.819,2,3,-1,-1
08/05/2016,23,19,0,7.349,3.408,3.681,5,7,-1,-1
10/05/2016,26,15,2,8.099,3.38,2.497,12,4,1,-1
11/05/2016,13,6,1,7.36,3.471,3.564,6,1,1,1
11/05/2016,18,24,2,7.118,3.454,4.286,18,19,0,0
11/05/2016,21,8,2,7.174,3.601,4.68,16,11,0,0
15/05/2016,6,12,1,7.81,3.456,3.017,1,14,-1,0
15/05/2016,8,18,2,7.383,3.692,4.117,11,20,-1,0
15/05/2016,17,23,2,9.534,3.91,2.087,15,5,1,-1
15/05/2016,19,7,2,7.312,4.75,8.238,7,10,1,1
15/05/2016,20,26,2,8.666,3.537,2.307,9,12,-1,0
15/05/2016,24,21,1,7.645,3.465,3.429,19,16,1,1
15/05/2016,25,13,1,7.907,3.385,2.866,13,6,-1,-1
17/05/2016,15,2,2,7.295,3.742,4.753,4,18,0,-1
13/08/2016,4,22,0,8.477,3.158,3.001,19,12,0,0
13/08/2016,7,25,0,8.256,3.117,3.913,15,14,0,0
13/08/2016,8,23,1,8.956,3.316,2.498,11,3,0,0
13/08/2016,11,12,2,9.873,3.56,2.245,18,1,0,0
13/08/2016,16,20,1,8.481,3.099,3.213,18,9,0,0
13/08/2016,19,24,1,8.138,3.372,4.399,6,13,0,0
14/08/2016,0,13,0,8.44,3.282,2.972,2,8,0,0
14/08/2016,2,15,0,10.217,3.705,2.138,16,5,0,0
15/08/2016,6,26,2,7.604,3.65,5.209,10,7,0,0
19/08/2016,15,19,2,7.959,3.962,6.882,5,6,1,1
20/08/2016,12,0,1,8.92,3.44,2.52,1,2,-1,-1
20/08/2016,22,11,0,8.107,3.332,4.715,12,20,-1,-1
20/08/2016,23,7,2,7.974,4.092,7.115,3,15,0,-1
20/08/2016,25,8,0,8.967,3.18,2.621,14,11,1,-1
21/08/2016,21,16,0,8.625,3.116,2.997,17,20,1,0
21/08/2016,26,2,2,8.109,3.42,3.877,7,16,1,-1
27/08/2016,7,2,1,8.286,3.167,3.121,15,16,1,0
27/08/2016,8,20,2,7.842,3.477,4.819,11,9,1,-1
27/08/2016,12,22,2,7.853,3.449,4.837,1,12,-1,1
27/08/2016,19,21,1,7.792,3.559,5.71,6,17,-1,-1
27/08/2016,23,13,1,8.44,3.341,2.928,3,8,1,1
28/08/2016,25,16,1,8.433,3.009,3.006,14,20,1,1
10/09/2016,0,19,2,8.015,3.824,5.749,2,6,-1,0
10/09/2016,2,25,2,8.277,3.099,3.903,16,14,1,0
10/09/2016,4,11,1,8.531,3.082,3.167,19,19,1,1
10/09/2016,13,12,2,8.189,3.662,5.118,8,1,0,-1
10/09/2016,15,14,0,8.62,3.162,3.224,5,4,1,0
